time_s,imu_acc_norm_mps2,imu_gyro_norm_rps,stationary_flag,zupt_update_count,update_applied,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps
83.399954277,9.85623914077,0.0157003184681,1,207,1,-0.083079490096,0.0640238919397,0.014264874642,0.112813959687,-0.0425300885942,0.00661903707397
83.599954277,9.79643557627,0.0198147672204,1,208,1,-0.0623257257776,0.0552117122241,0.0114675001179,0.10436785629,-0.0376673223587,0.004161110445
83.799954277,9.81656126146,0.00749583217528,1,209,1,-0.0434562303381,0.0465454332727,0.00829706230955,0.0934612377773,-0.0336943978429,0.00268086579468
84.099954277,9.78231695459,0.012381942497,1,210,1,-0.0234865240215,0.038324128212,0.00436368624969,0.065118274876,-0.0206369948162,-0.000380499614827
84.699954277,9.74749454988,0.0255269465467,1,211,1,-0.0240542576618,0.0408931378226,0.000777085274515,-0.0165668576202,0.0169895305512,-0.00979713743838
85.199954277,9.69616161169,0.0229319645909,1,212,1,-0.060987861644,0.0670588832437,0.00613799086785,-0.0727474421508,0.0535352229067,-0.00633088124463
85.899954277,9.75101789558,0.0216491916708,1,213,1,-0.130139843415,0.101346020932,0.0178400315497,-0.0835202860586,0.0426563374119,-0.00276083203279
85.999954277,9.72584443635,0.013520817283,1,214,1,-0.138109756116,0.106965188916,0.0196131479446,-0.0708779891988,0.0412709551972,-0.00381756032232
86.099954277,9.75092303323,0.026890983619,1,215,1,-0.145463887188,0.111926949032,0.0201994680624,-0.0627367021635,0.038989594692,-0.00479087847753
86.399954277,9.78569619394,0.0215029067802,1,216,1,-0.167363065388,0.124175875759,0.0270103837648,-0.0542853206965,0.0325626922111,0.0107252841648
86.699954277,9.75550485623,0.0176174629274,1,217,1,-0.174077477342,0.126844364226,0.0309854810826,-0.0156698192578,0.00977023544179,0.0148358736353
86.899954277,9.77557543063,0.0279016128566,1,218,1,-0.170247948638,0.125045465407,0.0335283106734,0.0156287331253,-0.00151950834667,0.0193965916888
