t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop
43.800,-0.4920,0.5886,-0.00166,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4827,0,1
44.000,-0.4900,0.5865,-0.00110,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4674,0,1
44.200,-0.4886,0.5845,-0.00098,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4674,0,1
44.401,-0.4878,0.5827,-0.00196,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4674,0,1
44.600,-0.4877,0.5819,0.00150,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4674,0,1
44.801,-0.4888,0.5809,0.00034,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4674,0,1
45.000,-0.4913,0.5813,0.00128,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
45.200,-0.4934,0.5811,0.00188,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
45.400,-0.4964,0.5808,-0.00552,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
45.600,-0.5012,0.5836,0.00098,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
45.800,-0.5047,0.5854,0.00091,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
46.000,-0.5078,0.5874,0.00384,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
46.200,-0.5079,0.5873,0.00381,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
46.401,-0.5079,0.5873,0.00381,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
46.600,-0.5079,0.5873,0.00381,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
46.800,-0.5079,0.5873,0.00381,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
47.000,-0.5079,0.5873,0.00381,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
47.200,-0.5079,0.5873,0.00381,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
47.401,-0.5079,0.5873,0.00381,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4492,0,1
47.601,-0.4880,0.6134,0.00646,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4467,0,1
47.800,-0.5152,0.6317,0.00201,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4467,0,1
48.000,-0.5154,0.6301,-0.00306,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4467,0,1
48.200,-0.5144,0.6296,-0.00096,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4467,0,1
48.401,-0.5121,0.6274,0.00246,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4467,0,1
48.600,-0.5098,0.6249,0.00146,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4467,0,1
48.800,-0.5098,0.6249,0.00146,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4792,0,1
49.000,-0.5098,0.6249,0.00146,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4792,0,1
49.200,-0.5086,0.6274,0.00376,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4792,0,1
49.400,-0.4957,0.6116,-0.00004,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4792,0,1
49.600,-0.4938,0.6066,-0.00265,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4792,0,1
49.801,-0.4933,0.6047,-0.00251,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4792,0,1
50.000,-0.4927,0.6035,0.00175,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4792,0,1
50.200,-0.4927,0.6035,0.00175,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4585,0,1
50.400,-0.4927,0.6035,0.00175,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4585,0,1
50.600,-0.5101,0.6052,0.00168,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4585,0,1
50.800,-0.5188,0.6051,0.00182,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4585,0,1
51.001,-0.5173,0.6047,0.00247,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4585,0,1
51.201,-0.5242,0.6044,-0.00629,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4264,0,1
51.400,-0.5333,0.6101,0.00177,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4264,0,1
51.600,-0.5386,0.6122,0.00170,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4264,0,1
51.800,-0.5414,0.6143,0.00247,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4264,0,1
52.000,-0.5411,0.6142,0.00276,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4264,0,1
52.200,-0.5447,0.6136,-0.00667,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4357,0,1
52.400,-0.5484,0.6196,-0.00435,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4357,0,1
52.600,-0.5495,0.6209,0.00272,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4357,0,1
52.801,-0.5516,0.6236,0.00170,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4357,0,1
53.001,-0.5518,0.6247,0.00250,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4357,0,1
53.200,-0.5518,0.6247,0.00250,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4357,0,1
53.400,-0.5518,0.6247,0.00250,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4357,0,1
53.601,-0.5518,0.6247,0.00250,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4630,0,1
53.801,-0.5518,0.6247,0.00250,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4630,0,1
54.001,-0.5518,0.6247,0.00250,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4630,0,1
54.200,-0.5663,0.6577,0.00426,10.0000,0.0000,1,IDLE code=0; status_seq=1,0,,4630,0,1
